timestamp,person,words,tags
,Jack,"I remember two names. I don't know what their first names were, but Mrs. Colonel and Mrs. Kuroda and for a short while there was a lady named Mrs. Fujie. Those are the three that I recall.",
,Lisa,What do you remember about them?,
,Jack,Hardly anything.,
,Lisa,"And what kinds of, in addition to the classes about the language, many of the former students have talked about some skits that they've performed in.",
,Jack,Yes.,
,Lisa,Oratory performances?,
,Jack,"Yes, I participated in the oratorical contests and the plays and in this, in the late spring the school had a, what do you, what do you call that, outdoor activity. Other than that, it was mostly study study I think.",
,Lisa,"And, what did you speak about when you did the oratorical contest?",
,Jack,(Laughs) That I don't remember.,
,Lisa,"And do you remember any of the topics of the skits, the plays that you were in?",
,Jack,"No, no.",
,Lisa,How about any ceremonies?,
(00:18:00),Jack,"Well, I think that Mister Yamasaki was, had the Emperor’s Birthday or something. Other than that, ohh graduation day I think had program, but other than that, I don't recall. A lot of the things as a kid you didn't care to do, you know, so it kind of passes out.",
,Lisa,Who would come to the ceremonies and the plays and things like that?,
,Jack,Parents. Parents.,
,Lisa,"So, it would be an auditorium filled with people?",
,Jack,"Yeah, it was usually all filled with, you know, parents. The whole house was filled, I think.",
,Lisa,"And, what language was used in all of these performances?",
,Jack,"Japanese, Japanese. I think it was part of the learning process of the language, I think. It was, there was no English spoken at all.",
,Lisa,What kinds of memories do you have of the Yamasaki's? Mr. and Mrs. Yamasaki?,
,Jack,"Kind of strict. There was no, what do you say, fooling around (laughs). I think that was basically what I remember about him.",
,Lisa,Did you fool around much? Or were you a mischievous?,
,Jack,"No, I didn't since my mother was a teacher, she kept telling me, you know, don't do anything that would bring shame to the family and to her, you know, so I was pretty (laugh) strait laced, or whatever.",
,Lisa,"What other kinds of expectations were there about your behavior, either from teachers at school or from your parents at home?",
,Jack,"Well, to be a good citizen, you know, to stay out of trouble. I think that was basically the expectations of the parent or the community. I think we were pretty well known to the city that we were pretty good citizens, stayed out of trouble. I don't recall kids being taken to the police station for any reason.",
,Lisa,"Some people talked about the lessons, the ethical and moral lessons that they got from the language school. Do you have, what kinds of memories do you have of those kinds of lessons? Do you think they had an impact on you?",
,Jack,"Well, I think that goes down to one’s behavior. Not to bring shame to the community, the Japanese community and to your parents and I think morals was part of that behavior, not to be immoral.",
,Lisa,What was it like having a mother as a teacher in the school?,
,Jack,"(laughs) Well, I would have preferred that she didn't (laughs) teach but, it didn't bother me that much. I think I was just too young (laughs).",
,Lisa,What do you mean you think you would have preferred if she didn't teach?,
,Jack,"Well, like other mothers, you know, housewife. But she was a teacher from back in Japan so I guess it was natural for her to be hired as a teacher.",
,Lisa,"And, what was it like being the son of the photographer for the community, he must have been a prominent figure in the community?",
,Jack,"He was. As far as I was concerned, it didn't matter one way or the other.",
,Lisa,"And, others have talked about some of the chores that they had to do at the school. Do you have any memories of chores that you had to do at the school?",
,Jack,"Sweeping, clean-up, about it I think.",
,Lisa,Did you have many chores at home?,
,Jack,"Not too many (laughs). Being the only child, I think, I got away with a little bit more than maybe other kids. I don't know.",
,Lisa,"So, you'd come home from, would you go home from Longfellow School first, how, or would you go directly to Japanese Language School?",
,Jack,"The elementary school ended at three and the language school started at four. But since I was within few feet of the school, you know, I had some time between three and four.",
,Lisa,What would you do when you went home? Would you play?,
,Jack,"Ohh, we played at the school ground next door there, you know, baseball or whatever.",
,Lisa,Did the boys and girls play together?,
,Jack,"No, no, I think boys played with boys and girls with girls.",
,Lisa,"How about when you had those outings to the beach and you had some of those competitions, were all the children playing together?",
,Jack,"Yeah, it was group divided into red group and white group and we competed in that way.",
,Lisa,Where would you go on those outings?,
,Jack,"There was an open field in south Tacoma where we used to go. I don't remember exact location or anything, but I think it was south Tacoma some place.",
,Lisa,"What kinds of memories do you have of that, how did you feel when you went on those outings? Did you look forward to them?",
,Jack,I think it was just a matter of participating without any thoughts about whether I liked it or not. But I remember it used to start to rain (laughs) and that was not pleasant (laughs).,
,Lisa,So after you went to Longfellow Elementary what middle school did you go to?,
,Jack,McCarver Junior High School.,
,Lisa,"And there were many more children, Japanese American children?",
,Jack,"Yeah, right.",
,Lisa,"What was that like then, transferring to McCarver after Longfellow?",
,Jack,"Nothing, nothing special either way. Just something you did.",
,Lisa,And how about high school? Where did you go to high school?,
,Jack,Lincoln High School.,
,Lisa,What year did you graduate?,
,Jack,"Forty, nineteen forty. As a child, I was pretty much sickly so the doctor recommended that I stay out of school one year so around the third grade I had to stay out of school one year so I was late one year graduating.",
,Lisa,Did you also stay out of the language school that year?,
,Jack,I don't remember that (laughs).,
,Lisa,What did you do that year?,
,Jack,I have no idea.,
,Lisa,Did your family go to any of the churches?,
,Jack,"No, not. They weren't very religious. I mean, they participated in some things that the community had, but they didn't attend churches.",
,Lisa,"So, their social life, where do you think their friends came from? How did they meet their friends if it wasn't through the Buddhist church or the Methodist church?",
,Jack,"No, I think it's just community activities that brought them together. I know it was church, like the Minikahda family or some of the other families you know.",
,Lisa,Would your parents get involved in any of the school activities in the regular public school?,
,Jack,"No, no they did not. I think that's part of something that they did with the Japanese group but not the whole community.",
,Lisa,"So when you graduated in forty, then what did you do? Did you stay in Tacoma?",
,Jack,I went to college at Puget Sound.,
,Lisa,What was your major?,
,Jack,I think it was Business Ad.,
,Lisa,"When the hostilities between the US and Japan started to grow do you have any memories of those, of talking about these things in your home or with your friends?",
,Jack,"No, I think we were totally disinterested.",
,Lisa,And then were you surprised? How did you feel when Pearl Harbor happened?,
,Jack,"The night of December the seventh, I was attending a bowling tournament downtown. It was a bowling tournament and all of a sudden, we heard that Japan had attacked Pearl Harbor.",
,Lisa,What did you all do then?,
,Jack,I just walked home.,
,Lisa,Did you sit and talk with your parents at all?,
(00:32:00),Jack,"No, not at all. I think the FBI came and I think that’s the night that Dad was taken away.",
,Lisa,"Ohh, so they came to your house?",
,Jack,mhmm.,
,Lisa,Did you have any news or where did he go?,
,Jack,I think he was taken to immigration in Seattle. I think that’s where he was taken to.,
,Lisa,How long was he gone?,
,Jack,"Well, he was taken to Seattle, then I think to Missoula, Montana and from there he was transferred to Lordsburg, New Mexico, where as we were evacuated separately.",
,Lisa,"So, then it was just you and your mother during that time?",
,Jack,Right.,
,Lato,"And, did you go back to school, did you stay at college at Puget Sound or did you stay and help your mother?",
,Jack,"We had to start packing up. I believe the executive order said that we were to be evacuated, you know, so I dropped out of school Sophomore year, started packing up.",
,Lisa,"And, did you have any, what kind of news did you have of your father, where he was?",
,Jack,"Not nothing, I don't think.",
(00:34:11),Lisa,"Were there many other families that were going through what your family was going through, of having the father taken by the FBI?",
,Jack,"I think so, I don't know how many from the Tacoma community but there are a number of, I don't know the numbers.",
,Lisa,What did you do with all of your father’s photography equipment and photos?,
,Jack,"Photography equipment was left with the police department, I think. And the furnishings were left at the Buddhist Church across the street. So, we were able to recover our furniture, furnishings and also our dad's equipment.",
,Lisa,Oh you were?,
,Jack,Yeah.,
,Lisa,But you went back to the police station after the war?,
,Jack,That I don't remember how we got it back.,
,Lisa,"So you and your mother then packed up and went to Pinedale, right?",
,Jack,Right.,
,Lisa,What memories do you have of going to the train station and getting on the train?,
,Jack,Leaving Tacoma?,
,Lisa,"Yes, leaving Tacoma.",
,Jack,"Well, it was something I could never forget. It was my twenty-first birthday.",
,Lisa,"Oh, you're kidding.",
(00:35:50),Jack,"Sunday. And it was, what, about fifty degrees around Tacoma at that time. Two days and two nights on the train, ended up in Fresno and it must have been near a hundred degrees (laughs) you know? Then we took a bus to Pinedale. I don't know how far it was from the train station, but we were got there about noon time. We all lined up to go to the mess hall and people were passing out right and left, you know, because of the heat. We just weren't used to that kind of heat.",
,,"I remember going into the mess hall and sitting down, and one of the first things that they served was raw spinach salad (laughs). And I had never eaten raw spinach, you know, mother always cooked spinach. I looked at it and said, boy, I think I'm gonna die here (laughs).",
,,"And then we, after lunch we got our rooms assigned and I remember we had an asphalt floor. Some barracks had concrete I think, but we had, and the others, had wooden floors, I think. But we had concrete, I mean asphalt floor, and I touched the bedpost and I had to pull my hand away because it was so hot, and the bedpost would sink into the asphalt (laughs). That's my recollection. Then every, almost every day around four o'clock the dust storm would start and all the dust would get blown into our room. Those are the recollections I have of being in Pinedale.",
,Lisa,And then you went to Tule Lake?,
,Jack,And then in July we went to Tule Lake.,
,Lisa,What was it like in Tule Lake?,
,Jack,"It was pretty much the same. Hot at that time. And every day, you know the dust would blow, sand would blow in. Blow into your arid room.",
,Lisa,"So, given that this happened, the evacuation on your twenty first birthday, were you feeling angry or confused or how were you feeling about this?",
,Lisa,"So, I just asked, given that it was your 20 also, that it was your 21st birthday, how were you feeling at this time?",
(00:39:32),Jack,"I think very unhappy, angry. But what could you do, you know?",
,Lisa,Do you remember the registration process in Tacoma? When you had to   register for the camps?,
,Jack,"No, I don't remember too much.",
,Lisa,Apparently it happened in the language school.,
,Jack,"Right, right.",
,Lisa,How was your mother handling all of this at this time?,
,Jack,She never said. She never said anything. I think it's stoicism. There's a   word in Japanese called Shikata ga nai. It can't be helped. I think that's   probably her attitude at that time.,
,Lisa,Were there any other families that helped with your packing up and  moving furniture?,
,Jack,"I think there was one fellow who did a lot of carpentry work and he made boxes, crates for us. I remember that. And I don't know who helped to take these huge boxes to store at the church.",
,Lisa,And when your father was taken was it because he had the photography equipment?,
,Jack,"I, they said because of his photography that they were afraid he would go near a military site to take photographs plus the fact that they said he was potential community leader, which he wasn't. He was pretty much disinterested, but I think those were the reasons why he was taken.",
,Lisa,"So, we talked about the spinach salad.",
,Jack,Yeah.,
,Lisa,"And, what food did you mostly eat when you were growing up?",
,Jack,"Japanese cooking, you know rice and whatever meat you had, you they were sliced and cooked in soy sauce, that kind of thing.",
,,"Rice. My mother would have PTA meetings when she would come home early. I was told to wash rice, so I learned how to wash rice pretty good (laughs).",
,Lisa,"So, what were those meetings that your mother had?",
,Jack,"They were parent teachers meeting, I don't know what kind of things would  were discussed, maybe finances? I don't know.",
,Lisa,"At the language school, everyone had to pay tuition. And was there, did people talk much about that? Was that a problem?",
,Jack,"I don't think so. I never heard anything. I didn't know that there was tuition either. Money had to come from someplace, I guess it must have been tuition.",
,Lisa,Do you remember any of the report cards of your performance at school?,
(00:43:56),Jack,"They used to hand out diploma type of thing, but, there were no grades that I remember.",
,Lisa,"And, when you brought any work home to your parents from school, did you talk about it much together?",
,Jack,"No, no. There’s no such thing as discussion between parents and kids, I think. Dad had to go to work and mother had the school and so, there was no intercourse that much.",
,Lisa,"What other kinds of things did you do for social activities, especially in high school? Did you participate in any activities at the public school, at Lincoln?",
,Jack,"No, because of the fact that I had to go to language school. I did nothing.",
,Lisa,So what other types of social things would you do with your friends? Would you go out walking or to the movies?,
,Jack,"No, it's just the kids stuff like in the fall we play touch football, in the spring we'd play baseball. I think that's about it. And then we go to the beach and go swimming at the tide flats.",
,Lisa,"And then, when you were in Tule Lake, you must have met people who came from other places in California?",
,Jack,Mmhmm,
,Lisa,"And, do you have any thoughts about when you started to talk to people about different places and their lives growing up, any thoughts about how the Tacoma, living in Tacoma may have been different or similar to living in other places on the west coast?",
,Jack,"Ohh, not much but I remember at the dances, the boys held the girls differently from the, from us. I think the people from Sacramento, I remember, dance differently than us. Other than that, I don't know that I remember anything.",
,Lisa,How would you dance?,
,Jack,"Well (laughs), we would hold the girl's hand pretty much like this, but the kids from Sacramento, they seem like they would hold the girl's hands way down like this, you know, (laughs) things like that, I think we were kind of different.",
,Lisa,"So, when did you start dating? Did you do dating?",
,Jack,"No, I think I was little too shy (laughs).",
,Lisa,Where did you meet your wife?,
,Jack,"Ohh, that was after the war in Denver, Colorado.",
,Lisa,"Did your mother have any expectations, or I guess what kinds of expectations did your mother have about you getting married?",
,Jack,"No, no, I don't think mother even know about it, you know.",
,Lisa,"So, what was daily life like for you in Tule Lake?",
(00:48:52),Jack,"Well, I was, the first month we got there I caught a bad cold. So, I went to the camp doctors, and they suspected that I might have tuberculosis, so I was in the hospital for a few months under observation. I remember that. So, my social life wasn't, wasn't there much.",
,Lisa,"Did you stay, did you and your mother stay at Tule Lake the whole time during the war?",
,Jack,"I've forgotten how long I stayed in Tule Lake, but what happened was that Tule Lake was designated as a camp for those who wanted to go to Japan, and ugh, pretty much considered just, a disloyal camp, and at that time my dad was still in Lordsburg, New Mexico. And order came out that those who wanted to leave Tule Lake and go to another camp can do so. And, I think the government pretty much was encouraging people to leave, so I wrote a letter to the authorities, I forget, Dillon Meyers or something, that I won't leave this camp unless dad was released. So then I got a letter back from them that his case is being, will be reviewed, and short time later they released him to Tule Lake, so then we left Tule Lake to go to Pinedale, not Pinedale, but the one in Idaho. So then I spent a few months in Idaho camp, then I was able to relocate. They gave me a form that they wanted me to sign that says, I think it said ‘Would you be willing to volunteer for military service?’ and then the next question was ‘Would you be willing to serve if drafted?’ So, I wrote no on the first question, would I volunteer. And I said, on the second one, I said yes, I would serve if, you know, drafted. Short time after that I got released to leave the camp to relocate.",
,Lisa,And how about your parents?,
(00:52:25),Jack,"They stayed in Pinedale until Dad, when the government decided they were going to close the camp, Dad was able to get a job in Denver, Colorado. So, that’s where he relocated to.",
,Lisa,What was the job in Denver?,
,Jack,"It was a photo finishing job, printing, developing, retouching for the best studio in Denver at that time.",
,Lisa,How did he find that job?,
,Jack,"I think through the uhh, some group that did that kind of thing, provide jobs for those who relocate. I don't know who they work for, whether they’re with the government or, I don't know.",
,Lisa,Did your family ever consider going back to Tacoma? Why didn't you go back to Tacoma?,
,Jack,"I hated the climate. It was depressing to me that you have three hundred days, that gray sky, rain and snow. I just hated it. That’s the only reason.",
,Lisa,Was it the same for your parents? How about your parents?,
,Jack,"I guess they didn't mind. Just we were together, I think",
,Lisa,"So that’s the only thing you disliked about Tacoma, the weather? Was there anything else you disliked about it?",
,Jack,"Well, I think that was it until I went back one time for a reunion in Saltwater. The town is to me, was run down. It's kind of felt sad about that. But at the time, the weather, the climate was something that I just didn't like. Even as a child, I remember not liking it (laughs).",
,Lisa,So where did you go when you left camp since you left first?,
,Jack,"For some reason I don't know but I relocated to Detroit and I worked there for, I think a year and I didn't like that humid climate in summer and cold, cold winter, so then I decided I want to leave Detroit and I went to apply for a job. There again, I don't know what group was running this, providing jobs for Niseis that left camp but anyway I went and applied and I got a job in the Adirondack Mountains in upstate New York at a resort called the Raquette Lake which is one of the chain of lakes, glacial lakes. The most famous, of course, is Lake Placid but anyway, there this was a lake that was the area was called the Jewish Alps and a lot of people, Jewish people from New York City went there during the summer. The most famous person was Gabriel Heatter a radio newscaster. He suffered from a bad case of asthma, hay fever, so he had a place there at Raquette Lake.",
(00:57:00),,"So I spent from I think from July the fourth when the camp opened till Labor Day when the camp closed. After camp closed a bunch of us Niseis went to New York City and we stayed at a hostel in Brooklyn, and then after, I don't know, maybe a week or so we went, I took a train down to Philadelphia and visited some friends.",
,,"Then I decided that I want to go to LA, so I took a train and we were approaching Denver, and I thought I'd like to see Denver, so I got off the train and went to the Japanese community area. The Main Street there for Japanese was street called Larimer Street and there was a hotel that the Japanese family ran so I rented a room there and it was the front rooms facing the street so I was looking down from this window and across the street I saw a man walking that resembled my dad. So I decided, I wonder if that's dad. And so I ran down the stairs and went across the street, and sure enough, it was dad. He had gotten this job with the studio and he was staying in Denver so, (cough) excuse me, so I decided I'd stay in Denver so I stayed there, and I was there for about six, seven years. That's where I met my wife. We started dating and finally got married.",
,Lisa,How did you meet?,
(01:00:11),Jack,"At a, there's a group called the YPCC, Young People's Christian Conference and they were having a meeting at a minister’s home and I was invited by another friend. So I went there and I met my wife through this little YPCC group.",
,Lisa,She also of Japanese descent?,
,Jack,"Yes, she was born and raised in Fresno and she had been evacuated to post, one of the post camps. And before she, before the war, she had lived with a male cousin and his wife who was who ran the Angel Beauty Salon here in Los Angeles before the war. And so she stayed with them and learned the trade. And then, after the war, they, this cousin moved to Denver and relocated to Denver and started this Angel Beauty Salon in Denver and she went to work there as a beautician.",
,Lisa,What work were you doing in Denver?,
,Jack,Pardon me?,
,Lisa,What work were you doing in Denver?,
,Jack,"Before I left Denver I was with the Air Force Finance Center in Denver and at that time, it was right after the war and uhh, they were hiring civil service employees but they were under what’s called, what was called the indefinite appointment, which meant that whenever congress cut off funds for the finance center the first ones that will be dropped were the people with the indefinite appointment and I felt very insecure about that and I had a daughter, a child coming so then I decided that I want to learn a trade so I learn, when I moved here to LA I went to a trade school, a dry cleaning trade school and in the meantime my wife’s cousin wanted to move to California also, so they moved here in the San Fernando Valley and started a beauty shop here in Tarzana. So that’s why we came here to California.",
,Lisa,"Umm, so you came to Los Angeles and you bought a dry cleaning business you said?",
,Jack,Yes.,
,Lisa,"So explain to me how, what happened when your parents left the camp? Had you lost touch with them that you didn't know that they were in Denver?",
,Jack,"We used to write letters, my mother and I but uhh nothing was mentioned about dad moving to Denver, so I didn't know that he was in Denver.",
,Lisa,Was your mother in Denver?,
,Jack,She came a little bit later.,
,Lisa,So when you wrote letters with your mother what language would you use?,
,Jack,It's Japanese. Japanese.,
,Lisa,"So, why were you heading to LA when you stopped in Denver?",
,Jack,"Why? I just want to come back to the coast and I having been born and raised in a seaport town, I think I just wanted to be by a sea.",
,Lisa,"And then your, when you opened your business did you buy this house?",
(01:05:05),Jack,"Yes, I bought this house.",
,Lisa,"And, your parents, when did you buy the house next door?",
,Jack,"At the same time. Yeah, houses were cheap then (laughs).",
,Lisa,"And, did your parents follow you here?",
,Jack,"Yeah, then I called them, then he got a job for a couple years with a photographer down in Tarzana and then he retired.",
,Lisa,"How about your mother, what did she do in Denver and Los Angeles?",
,Jack,Ohh she didn't do anything. She was just strictly housewife.,
,Lisa,No more teaching?,
,Jack,No more teaching no.,
,Lisa,"And so, you have two daughters? Is that right?",
,Jack,Yes.,
,Lisa,And you were telling me just a moment ago that umm your father in the backyard liked to grow some flowers?,
,Jack,Yes.,
,Lisa,Can you tell me again about that?,
,Jack,"Well, he’s, that was his first love. He, in Tacoma,he entered a contest, a show, and got first award. He used to grow flowers that were this big, you know, beautiful flowers, but he was so meticulous. Every night he'd go out with a flashlight to pick worms off of the flowers in his he would lie in these flowers and they were just perfectly straight all the way across.",
,,"And also he loved classical music. When he’s, he was listening to the radio, classical music, I couldn't even drop a pin. He was so fussy. And when we lived in Denver and he worked at the studio downtown he'd go to the main library in Denver right downtown and he took out every album the Denver Library had, twice over, just to listen to the music. He loved classic that much. To be born in Japan, born and raised there, you'd think he'd be more interested in Japanese classics but it was European classics for him. I think that probably he was reincarnated European. He loved the heavy classics.",
,Lisa,"How about your mother did she have, what kinds of hobbies did she have?",
,Jack,She just read. She did a lot of reading. Magazine or things.,
,Lisa,"So, as you look back on your childhood growing up in Tacoma, are there certain things you would want your children and grandchildren to know? There are a couple of things you wanted them to know?",
,Jack,I don't. Can't think right now.,
,Lisa,Would you want them to know that you attended the language school? Things that you did there?,
(01:09:40),Jack,"You know, we never talked about the past much. I don't know if it was because of the war and evacuation or what. They never had time for us and I guess I was working, busy working trying to make a living, so I don't know. My wife was working as a beautician, so, we didn't have much time to have discussions about things.",
,Lisa,How about your grandchildren? Did they ask any questions?,
,Jack,Not that much. I don't know if its the times or what. Kids aren't interested in what your parents did or what your grandparents did. I think that’s it.,
,Lisa,"So, you know that the language school building in Tacoma is being, has been torn down, and it’s no longer there and I mentioned earlier that they're looking for ways to memorialize the building and you were talking earlier umm about some things you would want to make sure happened and didn't happen at the memorial. Do you mind speaking about that again?",
,Jack,"Well, my wife and I were driving up 399 or 395 which is a highway east of the Sierras and we stopped at this site which used to be Manzanar Relocation Center and there’s a little memorial plaque at what was the entrance to the camp and some people have vandalized it, taking an axe and hacking at it, scaring it badly, desecrating it. That I felt real angry about. So, what I feel about this memorial that is being planned for the language school in Tacoma, I would like to see it placed in an area that is not that too easily accessible so that some of these crazy people who desecrated, like this Manzanar plaque, that’s my real strong feeling with regards to it. It’s wonderful that such a thing is being planned, and I hope it does happen but I hope it’s protected.",
,Lisa,"So I have another question, just a general question about the school. What seems to be unique about Tacoma, is that in many other communities along the West Coast, the language school was started by a church, so the Methodist Church, or the Buddhist Church or the Baptist Church, but in Tacoma it was nonsectarian.",
,Jack,Right.,
,Lisa,So do you think that mattered in terms of the language school’s role in the community?,
,Jack,"I'm sorry, I couldn't hear that.",
,Lisa,"Do you think that it mattered that it was a nonsectarian institution, it wasn't associated with one of the churches in terms of the language school’s role?",
(01:14:10),Jack,"Well, I think it was, more or less, Yamasaki. Mr. Yamasaki’s idea or plan or feeling that the school ran the way it was run. I think he was very sincere in his feelings.",
,Lisa,Did you like the way he ran it?,
,Jack,"I think so. I think so. Most of the, I don't know about San Francisco or Los Angeles, but he wanted the school to be operated every day. A lot of the other communities, I think, had language schools, but they were open only on Saturdays.",
,Lisa,"Yeah, that’s an important difference.",
,Jack,I think that’s because of Mr. Yamasaki.,
,Lisa,"Something else we've heard from other people is, it sounds like Tacoma’s Japanese community was umm, it was a bit, it sounds like Tacoma was a fairly segregated city. There was a Japanese American community, German American community and there wasn't a lot of interaction. Do you agree with that portrayal of Tacoma?",
,Jack,"Only that, it was pretty much like that up and down the West Coast. I don't know why. Maybe because of prejudice. I know California was a vicious state for racial prejudice.",
,Lisa,Was it different? Was California different in terms of its racial prejudice?,
,Jack,"Oh, I think so, I think so. From politicians to ordinary farmers because a lot of this land that the Japanese developed was stolen from the Japanese by white farmers.",
