timestamp,person,words,tags
,Mary,Wow.,
,Hiroko,I’m not sure.,
,Lisa,1513 ½.,
,Mary,"And did you live there your entire childhood? Until, until your family left Tacoma?",
,Hiroko,Yeah.,
,Mary,Uh-huh.,
,Hiroko,"We moved there when my sister was a baby, so I, I was living out in the farm I think the first few years, and then we moved into the city.",
,Mary,"And when your father returned to Japan, he went back specifically to marry your mother and bring her back here?",
,Hiroko,Mm-hmm. Yes.,
,Mary,"Did they know each other prior to that, or was it…",
,Hiroko,"That I’m not sure. But when my mother’s brother saw my father’s hand, he told her, “Don’t get married.” And they wanted to know why, and they said, “He’s got big hands, which means he’s a worker.” [laughs] So that she would have to work hard with him.",
(00:05:16),Lisa,"And did your mother, what did she do? Did she (unintelligible).",
,Hiroko,"Well she was a housewife, yeah.",
,Lisa,Did they come from the same area in Japan?,
,Hiroko,Yes.,
,Lisa,Where was that?,
,Hiroko,"In Shizuoka, Japan.",
,Mary,"In your home, did your parents speak Japanese to one another?",
,Hiroko,Yes.,
,Mary,And did they speak Japanese to you?,
,Hiroko,"Most of the time, yes.",
,Mary,"And did you answer them in Japanese, or…",
,Hiroko,"Uh, mixed. [laughs]",
,Lisa,"What would you speak with your s-, siblings, with your sisters?",
,Hiroko,English.,
,Mary,"Since you were the oldest, did you feel, did you ever notice that your parents were more strict with you than they were with your –",
,Hiroko,Yeah. They told me that I had to set an example for my sisters. [laughs],
,Lisa,"So what kinds of behaviors would, uh, would they emphasize for you to make sure you set an example.",
,Hiroko,"Oh, not to get into trouble, and to look after my sisters, so… But we did a lot of things, you know, with the family, so it was okay.",
,Mary,"Did your, uh, sisters – what, what’s the age span?",
,Hiroko,About two years apart. Pretty close to two years apart.,
,Mary,So you would be going to school together…,
,Hiroko,Mm-hmm.,
,Mary,Would you walk to school together?,
,Hiroko,Yes.,
,Lisa,"So did they all, um, then go to Central, um, Elementary?",
,Hiroko,"Yes, my youngest sister was just ready to start school, so she hadn’t gone yet.",
,Lisa,Okay.,
,Lisa,"So 1922… Just thinking, to make twenty years. Yeah.",
,Mary,"So did your, all of your sisters go to the Japanese Language School?",
,Hiroko,"No, none of us did.",
,Mary,"Oh, none of you did. Okay. All right.",
,Lisa,"And how, did you notice that, was that a big deal in your life, that you were not going, or that other children did go? Did you, do you have any memories about not going to the school?",
,Hiroko,"No, um, I didn’t miss it too much, ‘cause I used to love to garden and I’d do the gardening. We just had a small plot along the side of the road, I mean on the side of the house, and I used to have all kinds of plants in there. The neighbors all knew how much I like flowers, so when they got new flowers they would tell me, “come and get some, we’ll, you know, split it.”",
,Lisa,Oh nice.,
,Hiroko,"So, yeah.",
,Mary,"Well a lot of people say that their parents insisted that they go to the Japanese language school, but it sounds like that was not the case with your parents.",
,Hiroko,"No, my father couldn’t afford it, because there were six of us.",
,Lisa/Mary,Mm-hmm.,
,Lisa,"Do you think it had anything to do with you all being girls? Was that any part of your parents’ decision, do you think?",
,Hiroko,"No, I don’t think so. Because he wanted us to learn judo and things, but we didn’t want to. But he had a black belt, so…",
,Lisa,Wow.,
,Mary,So did he teach you?,
,Hiroko,"No, we said we didn’t want to learn. [general laughter]",
,Lisa,"So, um, your other playmates. Do you remember who your other playmates were when you were growing up? And how did you meet them?",
,Hiroko,"Well mostly, we just lived in the same block.",
,Lisa,Okay.,
,Hiroko,"So, because the father, my father was very strict, and you couldn’t go far to play or anything.",
,Mary,A lot of the children would have been going to the language school after their regular public school—,
,Hiroko,Yes.,
,Mary,"So that means that you had a lot of time, maybe, in the garden and without those playmates.",
,Hiroko,Uh-huh.,
,Lisa,"What kinds of things would you do during that, the afternoons? Was it mostly in your garden?",
,Hiroko,"In the garden, or I’d play with my sisters… or study. [general laughter]",
,Mary,Did you have a lot of help around the house that you were expected to do?,
,Hiroko,"Not too much, my mother did most of it. We would help her do dishes, help her cook or something.",
,Mary,And did she make Japanese food mostly?,
,Hiroko,"Uh, she did, it was mixed.",
,Mary,Uh-huh.,
,Lisa,"Did, a favorite meal, what’s your favorite meal that you mother used to make?",
,Hiroko,I think that was shrimp tempura.,
,Lisa,Ohh.,
,Mary,Like we had today. [laughter],
(00:10:00),Hiroko,"[Nods, grinning] Yeah.",
,Lisa,I’m sure it would tastier than what we had today.,
,Mary,Although it was good.,
,Lisa,And how about… who were your playmates at school? Do you remember them?,
,Hiroko,"Well, one was Donna May Jaden, who became Janice Page. The actress?",
,Lisa,Oh.,
,Mary,Really.,
,Hiroko,"Yeah, she was in my class.",
,Lisa,Huh. And—,
,Hiroko,And then—,
,Lisa,Sorry.,
,Hiroko,"Then in high school, the Latin class we were quite close. So I had a lot of Caucasian friends there.",
,Mary,Was that in high school?,
,Hiroko,Mm-hmm.,
,Lisa,"And would you go to their homes? Would you, how would you socialize with them? Was it mostly in school?",
,Hiroko,"The first time I went to a Caucasian house for dinner, was to a classmate in Latin. And I remember I told the teacher, “I don’t know about my manners when it comes to an American home.” And she told me, “Don’t worry, you just follow what I do and you’ll be all right.” So, I went there—",
,Mary,So it was your teacher’s home that you went to?,
,Hiroko,"No, it was a classmate. Jane Elder. And I think she lives in Chicago, or in the suburbs someplace.",
,Lisa,And how was the dinner? Did you have a good time?,
,Hiroko,Yes.,
,Lisa,"What, what, do you remember the food they served, or anything?",
,Hiroko,"No, I don’t remember what it was. But I got along; they treated me very well.",
,Mary,"Did, did she ever come to your family’s house?",
,Hiroko,"No, she didn’t. But Donna May has come to my house.",
,Lisa,"And so, did you go to play at Donna May’s home as well?",
,Hiroko,A couple of times I went there.,
,Lisa,"And was, when was that?",
,Hiroko,In grade school.,
,Lisa,Okay.,
,Lisa,"Was that common, do you think? Were your other, um other children in the Japanese-American community, were they going to their Caucasian friends’—",
,Hiroko,"I’m not sure, but I don’t think so. Yeah.",
,Mary,"Do you think it was because you didn’t go to the Japanese language school that you had maybe a broad, broader circle of friends? Or—",
,Hiroko,"Oh, I don’t know about that…",
,Mary,Uh huh.,
,Lisa,"How about your parents, what was, who did they tend to socialize with?",
,Hiroko,"Oh, mostly Japanese.",
,Mary,Did they go to church? Did your family go to church?,
,Hiroko,Occasionally.,
,Mary,"Uh-huh. And which church did they, did you attend?",
,Hiroko,"Well, um, when we first started church, we went to a Buddhist church. Because we didn’t have to cross the street. It was down, down the street and around the corner. And then when they moved to across the street, then my mother switched us to a Christian church. Because that was in the block.",
,Mary,Uh-huh.,
,Hiroko,"And so, I went to a Christian church for quite a while.",
,Mary,Was that the Methodist church then?,
,Hiroko,"No, um… Oh, I can’t remember.",
,Mary,Maybe the Baptist church?,
,Hiroko,"I think Baptist missionary school? And I re-, still remember the, the teacher there. She used to have a shrill voice, but she used to love to sing. [general laughter]",
,Lisa,How did you feel about switching from one church to the other? Do you have any memories of that?,
,Hiroko,No I don’t. So…,
,Mary,"Was the church a very, it sounds, was it a very important part of your social life, or…",
,Hiroko,"Um, when we went to Christian church, then they had Easter programs, the Christmas programs, and things like that, but the Buddhist Church didn’t have too many of that. They had the Buddha’s birth in April, and then the spring and the fall celebrations they have.",
,Lisa,So which high school did you go to?,
,Hiroko,Stadium High School.,
,Lisa,"Went to Stadium. And what kinds of after school… Did, did you get involved in aft-, after-school activities…",
,Hiroko,No.,
,Lisa,"And…oh, okay.",
,Hiroko,We had to be home. [laughs],
,Mary,Was that because your father was strict?,
,Hiroko,Right.,
,Mary,Uh-huh.,
,Lisa,"So what did he want you to do? Why, why, what did he, why did he say, “I want you home?”",
,Hiroko,"I don’t know, probably because we were all girls, he was worried about boy-girl relationships, or something.",
(00:15:03),Mary,"Did he let you date, and that sort of thing?",
,Hiroko,"No, we never had a date.",
,Mary,"Did you, how did you feel about that? Did you think about it, or…?",
,Hiroko,"Well most of the Japanese, I don’t think, dated at that time, so it didn’t bother me. Yeah.",
,Lisa,"Didn’t think about it much, yeah.",
,Hiroko,Uh-huh.,
,Lisa,Uh-huh.,
,Lisa,"How about, um, the other girls that, some of the Caucasian girls in your school, Donna May and, uh, Jane Alder, did, were they dating? Was there a lot of courtship?",
,Hiroko,"I don’t think so, not that I knew of, anyway.",
,Lisa,"So it wasn’t something that, I guess the questions is do you think it was anything that set you apart from any of the other children? To, to not do…",
,Hiroko,I don’t think so.,
,Lisa,…by those strict rules? Mm-hmm.,
,Lisa,So where did you meet your husband?,
,Hiroko,In camp.,
,Lisa,In camp.,
,Mary,"So you would’ve been, uh, twenty, or almost twenty…",
,Hiroko,Past twenty.,
,Mary,"Past twenty. But you were still living with your family, when that happened. But you already had graduated from high school.",
,Hiroko,Yeah.,
,Mary,"Now do you re-, have any memories of what that was like for your family, when you heard that Pearl Harbor had been bombed, and that sort of thing?",
,Hiroko,"Well at that time, I was working as a house-girl.",
,Mary,"Oh, okay.",
,Hiroko,"A lady had just had a baby, and I had gone to take care of the baby. So the, the man of the house had been out and he came back and he said, “Japan just bombed Pearl Harbor.” And his wife and I, we didn’t believe it at first. And then they said, “You’d better get home.” So, I took the bus and I went home.",
,Mary,Mm-hmm.,
,Hiroko,"But everybody was good to me, they didn’t, you know, mistreat me on the bus or anything, so it was nice.",
,Mary,"Did he say you better get home because he was concerned about you and your family, about your safety and…",
,Hiroko,Mm-hmm. Yeah.,
,Mary,Uh-huh.,
,Lisa,"So what happened when you graduated, how did you find that job? And did you look for other kinds of jobs?",
,Hiroko,"No, my father’s idea was I should get into an American home to learn American cooking.",
,Lisa,Oh.,
,Hiroko,"So that was where I went, but we didn’t do too much cooking. [general laughter] But I loved the baby, so it was nice.",
,Mary,"Why did he want you to learn American cooking, do you think?",
,Hiroko,"I don’t know, so I could become a good wife, I guess.",
,Lisa,Interesting.,
,Had your mother taught you how to do Japanese cooking? Cooking Japanese food?,,
,Hiroko,"We used to help her, so we learned.",
,Lisa,Mm-hmm.,
,Hiroko,"But when she first got married, she didn’t know how to cook, she said.",
,Lisa,Oh.,
,Hiroko,And she said all the lumbermen had to teach her how to cook. [general laughter],
,Lisa,"So what year did, had, did you graduate from high school?",
,Hiroko,In ’41.,
,Lisa,"Okay, 1941.",
,"Um, and, do you remember the family that you were working for? The name, and…",,
,Hiroko,"Mr. and Mrs. Cheap, but they’re both gone. It was C-H-E-A-P, just like…",
,Lisa,Oh.,
,Lisa,Did you keep in contact with them at all?,
,Hiroko,"Well, when we were in camp they, you know, we used to write back and forth, but then they cut out all the things that they thought we shouldn’t be writing about, so we’d get pieces of paper here and there. [pantomimes paper with strips in various locations]",
,Lisa,Uh-huh.,
,Hiroko,"But since then they’ve both passed away, and then the boy that I took care of has passed away too.",
,Lisa,Oh.,
,Hiroko,"But he’s got a younger brother living in Washington, I think in Everett, they said.",
,Mary,But it so sounds like you kept in touch with that family for a long time.,
,Hiroko,"Yeah, for quite a while, ‘cause they treated me real well, and so…",
,Mary,How long did you work there?,
,Hiroko,"Oh, about a year, I think.",
,Lisa,"So then what happened when you went home that day, after Mr. Cheap sent you home?",
,Hiroko,"Mmm, I don’t remember much about that, but then I had gone back to work, and then on April Fool’s Day they took my father. The FBI came and took my father, and then Mrs. Cheap and I were making chocolate-covered cotton-balls. She said, it’s April Fool’s Day, let’s make, let’s play a joke on your sisters.",
(00:20:08),Lisa,Oh my.,
,Hiroko,"So we were making that when my mother called, and my mother said, “They just came and took your father away.” And I said, “April Fool,” and my mother said, “It’s not April Fool.”",
,Mary,"Oh, wow.",
,Lisa,Oh my goodness.,
,Lisa,"Why did they take him, do you think?",
,Hiroko,"He had written an article in the newspaper, and somebody said that the editor must have reported him, or something.",
,Mary,"What sort of an article, do you remember what did he say?",
,Hiroko,"Something on Roosevelt, but I’m not sure what it was.",
,Lisa,Did you keep a copy of the article? Did your family…,
,Hiroko,"No, because it was written in Japanese, I wouldn’t have been able to read it.",
,Mary,"And when they took him, where did they take him? And for how long?",
,Hiroko,"I don’t know where they took him at first, but they took him to Santa Fe, and he was there during most of the war.",
,Lisa,"So do you remember anything about when the orders came for you to pack up, and relocation to the camps?",
,Hiroko,"No, we only heard from a neighbor…",
,Lisa,Okay.,
,Hiroko,"…what you had to do, and what you could take, and what you can’t take, and--.",
,Mary,So your mother was alone with the six girls…,
,Hiroko,Mm-hmm.,
,Mary,…and had to manage all of that.,
,Hiroko,Yeah.,
,Lisa,"How do you think she…sorry, Mary. How do you think she, how do you think she handled that?",
,Hiroko,I think she handled us very well. [laughs],
,Mary,Do you remember having to help and what happened with your house and your belongings and that sort of thing?,
,Hiroko,"Well, most of the things we just had to leave, but an oak dresser we gave to Mrs. Cheap, because it was nice looking, and an oak table. But other than that, we had to leave everything.",
,Mary,Did you have any contact with your father while he was in New Mexico?,
,Hiroko,Not for a long time. And then one time he sent us a horned toad in a little package.,
,Mary,A live one?,
,Hiroko,A live one.,
,Lisa,Really.,
,Hiroko,"And then, when we were in camp he sent it. And then it stayed for quite a while, then all of a sudden it disappeared, so we don’t know what happened to it.",
,Mary,That sounds like an April Fool’s joke.,
,Hiroko,Yeah. [laughs],
,Lisa,"So what, do you remember what, um, when you found out where he had gone? Did you know where he had gone-, where they had taken him at the beginning? Or…",
,Hiroko,At the beginning we didn’t. For a long time they wouldn’t let us know anything.,
,Lisa,And then how… Do you remember finding out where he was? Was it when he wrote the letter to you?,
,Hiroko,I think so.,
,Lisa,Okay.,
,Mary,And your family went where?,
,Hiroko,"We went to Minnedoka, no not Minnedoka, we went to Pinedale first. That was a temporary assembly center, then we went to Tule Lake, then from Tule Lake we went to Minnedoka, and Minnedoka back to Tule Lake, then I came out here.",
,Lisa,"Oh, okay.",
,Mary,Out here to Chicago.,
,Hiroko,[Nods],
,Mary,"So did you come out here before the rest of the people were released from the camps, or did you—",
,Hiroko,"No, when all of them were being released I came out here. My husband had come out before, only it was boyfriend-girlfriend then. But then I came out by myself, and my mother and my sisters went to California, because my sister next to me had gotten married in camp, to a soldier, and they were living in California. So my mother and my other sisters went over there.",
,Mary,Uh-huh.,
,Hiroko,"And then, when they released my father, he decided to come to Chicago, and quite a while they were separated, then he decided it’s time to get together.",
,Mary,Uh-huh.,
,Hiroko,So…,
,Lisa,So what happened? Did he go to California?,
,Hiroko,"No, my mother and my sisters, a couple of my sisters came back.",
,"Mary, Lisa",Oh.,
,Mary,"So you’re, you met your husband in camp.",
,Hiroko,[Nods],
,Mary,But you didn’t marry in camp.,
,Hiroko,No.,
,Mary,"But was he from this area, Chicago?",
,Hiroko,"No, he was from Hawaii.",
(00:25:01),Mary,Huh.,
,Lisa,So why did he decide to come here? Why did you guys come to Chicago?,
,Hiroko,"Uh, a couple that was in the same block in camp was out here, and they told us, “It’s nice out here, so come on.” So…",
,Lisa,"Did you consider going back to Tacoma? Why, why did, did you or did you not think about Tacoma?",
,Hiroko,"No, I didn’t think about Tacoma because I didn’t know who was back there, or…",
,Lisa,Very few people went back to Tacoma after the war.,
,Mary,"How did your husband end up in, if he was from Hawaii, how did he end up on the mainland?",
,Hiroko,"Because they picked him up in Hawaii for being a teacher, Japanese school teacher.",
,Mary,"Ohh, uh-huh. So he taught in a Japanese language school…",
,Hiroko,"Little bit, but he taught, so they picked him up.",
,Mary,Uh-huh.,
,Lisa,"How did you meet? I, I understand you were in camp, but what…",
,Hiroko,At the movies.,
,Lisa,"Oh, really?",
,Hiroko,"The movies you had to go to the mess hall, and um, you sit on the floor or stand, and watch it. And, um, I used to work in the diet kitchen, and then I got back a little late. So my girlfriend and I went and then he was standing in front. And then my girlfriend is much taller than me, so she said, “Can you see?” And I said, “Yeah, if this guy in front of me stands still I can.” [laughter] And I didn’t know whether he understood Japanese or, I mean English, or not, but he stood, he understood English enough to tell me that he would stand still. [general laughter] So, that is our life story.",
,Lisa,That sounds just like the beginning.,
,Mary,To think he was willing to stand still for you.,
,Lisa,"Uh, what was the movie? Do you remember the movie?",
,Hiroko,"No, I don’t.",
,Mary,That part you’ve forgotten.,
,Hiroko,I’m terrible at memories.,
,Lisa,"So was there a lot of courtship in the, uh, in the camp? With your friends as well?",
,Hiroko,"I guess, yeah.",
,Lisa,Yeah.,
,Mary,"So it’s interesting that your father came, decided to come to Chicago rather than go to California when he was released from New Mexico.",
,Hiroko,"Well he liked to tinker with things, and so he came with ideas. And then he wanted to go see the patent lawyers, so I think that’s why he came here.",
,Mary,Did he ever patent anything?,
,Hiroko,"Umm, what is it, “patent pending?”",
,Mary,Yeah.,
,Hiroko,"He had a couple of those. But, uh. [shrugs]",
,Lisa,"So then what, after the war, did you continue with schooling or get a job, what did you do?",
,Hiroko,"No, I got a job.",
,Mary,Here in Chicago?,
,Hiroko,[Nods],
,Lisa,What kind of job?,
,Hiroko,"I worked at a lampshade company, then for a while I worked at Revere Camera Shop, that was very little time though. And then I worked as a gold-stamper, pers-, personalizing napkins and matches and things. I did that for fifty years.",
,Mary,Wow.,
,Lisa,My goodness.,
,Hiroko,"And then in between I worked at a flower shop, part time.",
,Lisa,"Oh, that brought back the memories of the garden.",
,Hiroko,Mm-hmm.,
,Hiroko,"So I worked in, for five different flower shops, I think.",
,Mary,"And when, how long had you been out here before you and your husband then got married?",
,Hiroko,About a year.,
,Mary,"Uh-huh, and what, what sort of job did he find when he got out of the camp and came here?",
,Hiroko,"He worked as a salad boy, and then he got into silk-screening. So he made lampshades, and then those big signs that you see on the EL platforms, and things.",
,Mary,Uh-huh.,
,Lisa,"Yep. Bill-, billboards.",
,Hiroko,Uh-huh.,
,Lisa,Great.,
,Lisa,And do you have children?,
,Hiroko,We have five children.,
,Lisa,Five.,
,Mary,Five girls.,
,Hiroko,"[Shakes her head “no,” grinning] Three girls. Three girls and two boys.",
,Lisa,Oh wonderful. And are they in the area?,
,Hiroko,Yes.,
,Lisa,That’s great.,
,Hiroko,"One is in Michigan, but it’s about an hour and a half away, so…",
(00:30:02),Mary,"Well you were saying earlier, after lunch, that your, four of your children are married, and two married Irish, people of Irish descent, and German—",
,Hiroko,And…,
,Mary,"Oh, go ahead.",
,Hiroko,"Yeah. The oldest one is married to a Japanese boy, only one. And then second one has been married twice and divorced twice, so he’s just living with his son now. And then the third one is married to an Irish girl, and they’re the ones that adopted the Chinese girl, and then the second daughter is in Michigan, and she’s married to an Austrian-German boy, and then, but he was in the Green Berets so he’s a citizen now. And then the youngest one is married to an Irish boy, and the youngest one is four feet eleven, and he is six feet four, or something. [general laughter]",
,Mary,"Oh, wow!",
,Mary,"So you said earlier you have an international family, and also have a, how would you say, a tall-short family.",
,Hiroko,Uh-huh. [laughs],
,Lisa,"So how many, then, of your family members ended up in California, and how many ended up here in the Chicago area?",
,Hiroko,"Uh, I have three sisters that were in California, but one passed away so I have two there now.",
,Lisa,Okay.,
,Hiroko,"So one is in Lake Zurich, which is a suburb here, and then I have one sister in Puyallup.",
,Lisa,Oh.,
,Hiroko,Washington.,
,Lisa,Which one is living in Puyallup?,
,Hiroko,"She’s the fifth, fourth, fifth one. Next to the bottom. Chizu.",
,Lisa,Chizu/May?,
,Hiroko,Uh-huh.,
,Lisa,"Yeah, okay. Great.",
,Lisa,"And as you think about, and this is kind of a question about reflecting back on experiences, and specifically experiences of discrimination, and let’s just say after the war. Do you think that this, your sisters who lived in California had different experiences from you and your other family members here in Chicago?",
,Hiroko,"I don’t know, they, they didn’t say anything about discrimination over there, and then I didn’t run across discrimination here, and first, first time I realized that was when bananas were hard to get, and a lady passing down the street told me, “Oh, you should go to…” And I forgot if it was Jewel, or National, or some place, “They have bananas today.” And I thought, oh, that’s nice. So… So I didn’t…",
,Mary,"So, it was nice that she had told you that, you mean?",
,Hiroko,Uh-huh.,
,Lisa,"I see, I see.",
,Mary,"Did you feel a difference in, in the reaction of people here versus the reaction of people in Tacoma? Did you feel discrimination in Tacoma, but not here? Or can you compare the two?",
,Hiroko,Luckily I didn’t feel any discrimination in either place. So...,
,Lisa,"How about your parents’ generation. What do you think it was like for them, especially with, if they didn’t speak a lot of English? What was their experience in Tacoma? Did they ever talk about discrimination, prejudice…",
,Hiroko,"No. My father broke, had broken English, but he was able to communicate, so…",
,Mary,And your mother. Did she speak any English?,
,Hiroko,"She didn’t speak very much. Just, just barely, I guess.",
,Mary,"So as a child, did you have to interpret for her?",
,Hiroko,Mm-hmm.,
,Mary,Do you have memories of that?,
,Hiroko,"Not really, but my sister that passed away was very talkative, and so when somebody came to the door my mother said, you know, to translate for her. And she just clammed up and wouldn’t say anything, and my mother said, “Here I thought you were going to be a lawyer! You’re no good!”",
,Lisa,"So what happened, do you remember? Did, some, did one of your other sisters come to the rescue?",
,Hiroko,"I think I had to. I, I had to jump in.",
,Mary,"Do you remember ever, your teachers having to communicate with your parents and then you having to be the interpreter in that case?",
(00:35:02),Hiroko,"No, my father understood enough so that he would get by.",
,Lisa,"How about that experience when you first went to, to elementary school. And the language transition. If you’re speaking mostly Japanese at home and with your other playmates, what was it like then going to…",
,Hiroko,"We had an old teacher who was so patient, she used to stand all of us along the wall, and the first one would say “A,” second one would be “B,” and all the way around. Then we would switch. And she taught us that way. And then “1, 2, 3” was the same way.",
,Mary,"So would that, what grade would that have been?",
,Hiroko,In first grade.,
,Mary,In first grade. Uh huh.,
,Lisa,"And was this for all of the children, or was this only…",
,Hiroko,She had a class of all Japanese.,
,Lisa,"Oh, she did. Why was that?",
,Hiroko,"I really don’t know. Probably because none of them could speak English, or something.",
,Mary,So that was at Central School?,
,Hiroko,Mm-hmm.,
,Mary,"How, do you have any memory of about how many children that would have been? Was it a regular-sized classroom?",
,Hiroko,"Probably a little smaller than a regular classroom, but... I still remember she was so patient.",
,Lisa,What was her name? Do you have any…?,
,Hiroko,That I don’t remember.,
,Lisa,"Yeah. And was that, did that happen only one year? What happened in your second grade?",
,Hiroko,"Second year we were integrated, I think.",
,Lisa,Was that in—,
,Mary,"Well I was just going to ask, did your sisters have the same setup? Were they ha—",
,Hiroko,"No, I don’t think so. But to learn how to read and things that we would bring, homework home with us, and my father said he’s going to teach us how to read. But he has that accent, and he would tell me, “No, no, you’ve got to do it this way.” So I would do it that way. You get to school, and the teacher says, “No, no, no.”",
,Lisa,"What was that integration like, going from the first grade with all the other Japanese children into second grade in the integrated classroom?",
,Hiroko,"I guess it was okay, because I don’t remember anything bad.",
,Mary,"How would you handle it when your teacher said, “Pronounce it this way,” and your father said, “Pronounce it this way,” would you go home and tell him? Or did you dare or…?",
,Hiroko,"No, I don’t think I told him. But then, you know, as you learn you do it your own way, so…",
,Lisa,What are some of your best memories? Do you have one or two kind of best memories of your childhood in Tacoma?,
,Hiroko,"Well, my father used to take us to the beach, and he would watch the tide calendar, and then it was low you could go clamming. And things like that, that I remember. Then he’d take us to the park.",
,Mary,Did you have a car?,
,Hiroko,"He had a car. An old Model T, and then a, I think it was a 1926 DeSoto that he drove until the war. Then they were going to sell the car. Nobody could drive it. And still when he was driving it, it would go. [laughs]",
,Mary,"Was that unusual, to have a car? Back in 1926, and…",
,Hiroko,I think so.,
,Lisa,Which parks and beaches would you go to?,
,Hiroko,"Point Defiance, and then Sixth Avenue…",
,Lisa,"The park, what’s it…",
,Lisa/Mary,Wright Park?,
,Hiroko,"I don’t know, Sixth Avenue Beach?",
,Mary,"Oh, Sixth Avenue Beach.",
,Lisa,Was that Titlow? Down on the other side?,
,Mary,"Of course, Titlow. Probably. Now they call it Titlow Beach.",
,Hiroko,Oh.,
,Mary,All the way across Sixth Avenue.,
,Hiroko,And then there was Steilacoom.,
,Mary,Uh-huh.,
,Lisa,"Mmm. Would you go with other families? Or would your, just your family go?",
,Hiroko,"We used to go, just the family. But what I used to love to do was go mushroom hunting.",
,Lisa,Oh.,
,Mary,Where would you do that?,
,Hiroko,"Oh, to Mount Rainier, or Shelton, Enumclaw, um, Olympia… Different places, but I used to love that.",
,Mary,"You went far afield, it sounds like.",
,Hiroko,[Nods],
(00:40:00),Lisa,And is that something your father also took you to do?,
,Hiroko,Uh-huh.,
,Lisa,And who went on that trip? Would it be all of your sis—,
,Hiroko,"My mother, my sisters, and then once in a while we would take a friend.",
,Mary,What would you do with the mushrooms?,
,Hiroko,"My mother used to can it if we got a lot, otherwise we ate it.",
,Lisa,Uh-huh.,
,Hiroko,The mudstucket?,
,Mary,Uh-huh.,
,Lisa,That’s great.,
,Mary,"You eat what you can, and can what you can’t.",
,Hiroko,Right.,
,Lisa,"How about the churches. We’ve heard quite a bit from some of the other people who’ve grown up in Tacoma that there were – some families went to the Buddhist Church, some families went to the Baptist Church, and some went to the Methodist Church. And while lots of the kids played with each other, there were also, they also tended to play with children from their own church group. Do you have any memories of that or what kinds of memories do you have of that influence?",
,Hiroko,"Uh, playing, I think, mostly people in the block, so they went to different churches. But then we played together. Played kick-the-can, and tag, and hide-and-go-seek… Then with the homemade rubber-band guns…",
,Mary,With the clothespin?,
,Hiroko,"…they had the clothespin tied to the back of the shape of the gun, and the rubber band is stretched from the clothespin to the front.",
,Lisa,Would both boys and girls play that? Or…,
,Hiroko,Uh-huh.,
,Lisa,Yeah?,
,Hiroko,"And my sister that passed away used to be good at the saw, so she used to make our guns. [general laughter]",
,Lisa,Would you play as a team with your sisters?,
,Hiroko,"Oh, sometimes. But mostly we’d have one person that was bad and then the rest of us chasing. [general laughter]",
,Lisa,"Do you have any memories of, um, causing mischief when you were out playing?",
,Hiroko,"No, I don’t think so.",
,Lisa,Good.,
,Mary,"So your, your parents never heard bad things about you, then. From any of (unintelligible)…",
,Hiroko,I hope not.,
